rank,song,performances,era
1,Lady Madonna,804,Beatles
2,Let It Be,773,Beatles
3,Hey Jude,757,Beatles
4,Band on the Run,735,Wings
5,Live and Let Die,725,Wings
6,The End,653,Beatles
7,Let Me Roll It,637,Wings
8,Back in the U.S.S.R.,632,Beatles
8,Yesterday,632,Beatles
10,Blackbird,572,Beatles
11,Eleanor Rigby,557,Beatles
12,Maybe I'm Amazed,534,Solo
13,Jet,528,Wings
14,Something,498,Beatles
15,The Long and Winding Road,495,Beatles
16,Here Today,494,Solo
17,Can't Buy Me Love,455,Beatles
18,Carry That Weight,449,Beatles
19,Golden Slumbers,446,Beatles
20,Get Back,428,Beatles
21,I Saw Her Standing There,409,Beatles
22,All My Loving,405,Beatles
23,Coming Up,395,Solo
23,Ob-La-Di Ob-La-Da,395,Beatles
25,Nineteen Hundred and Eighty-Five,394,Wings
25,We Can Work It Out,394,Beatles
27,Helter Skelter,378,Beatles
28,Got to Get You Into My Life,368,Beatles
29,Let 'Em In,358,Wings
30,I've Got a Feeling,354,Beatles
31,Sgt. Pepper's (Reprise),348,Beatles
32,My Valentine,335,Solo
33,Drive My Car,334,Beatles
34,I've Just Seen a Face,317,Beatles
35,Being for the Benefit of Mr. Kite!,291,Beatles
36,Paperback Writer,265,Beatles
37,And I Love Her,258,Beatles
38,New,253,Solo
39,In Spite of All the Danger,250,Quarrymen
40,Dance Tonight,247,Solo
41,The Fool on the Hill,243,Beatles
42,Every Night,232,Solo
43,My Love,230,Wings
44,Letting Go,223,Wings
45,Queenie Eye,221,Solo
46,Here There and Everywhere,218,Beatles
47,Birthday,214,Beatles
48,Magical Mystery Tour,213,Beatles
49,Love Me Do,205,Beatles
50,Midnight Special,198,Cover
51,C Moon,195,Wings
52,Junior's Farm,193,Wings
